Stage,TaskCount,Seed,Makespan,LoadBalanceRatio
V2_addLevy,2000,53,799.3531,0.9011
V3_addDynW,2000,53,834.5150,0.7789
V4_addStaged,2000,53,962.8202,0.7902
V5_addLS,2000,53,326.1765,0.3770
V1_CBO_orig,2000,54,807.1558,0.8344
V2_addLevy,2000,54,612.5742,0.7094
V3_addDynW,2000,54,681.1332,0.7345
V4_addStaged,2000,54,932.1430,0.8553
V5_addLS,2000,54,346.2168,0.4169
V1_CBO_orig,2000,55,736.7813,0.6920
V2_addLevy,2000,55,574.1876,0.6210
V3_addDynW,2000,55,609.5916,0.6753
V4_addStaged,2000,55,744.4838,0.7229
V5_addLS,2000,55,325.7431,0.3754
V1_CBO_orig,2000,56,1071.2293,1.0057
V2_addLevy,2000,56,875.0919,1.0196
V3_addDynW,2000,56,720.1336,0.9163
V4_addStaged,2000,56,958.1229,1.1417
V5_addLS,2000,56,380.4257,0.4576
V1_CBO_orig,2000,57,1243.1251,1.0303
V2_addLevy,2000,57,824.7101,0.8729
V3_addDynW,2000,57,791.4022,0.8666
V4_addStaged,2000,57,1103.3067,0.9800
V5_addLS,2000,57,470.2346,0.5953
V1_CBO_orig,2000,58,644.7966,0.7104
V2_addLevy,2000,58,546.3673,0.7209
V3_addDynW,2000,58,538.9406,0.7116
V4_addStaged,2000,58,703.0133,0.8080
V5_addLS,2000,58,375.2175,0.4888
V1_CBO_orig,2000,59,716.9642,0.8657
V2_addLevy,2000,59,598.8442,0.7661
V3_addDynW,2000,59,575.0936,0.7022
V4_addStaged,2000,59,662.1223,0.7826
V5_addLS,2000,59,355.7921,0.4872
V1_CBO_orig,2000,60,952.8664,1.0275
V2_addLevy,2000,60,791.4542,1.0084
V3_addDynW,2000,60,808.1329,0.9448
V4_addStaged,2000,60,1122.7774,1.0629
V5_addLS,2000,60,289.9048,0.3831
V1_CBO_orig,2000,61,1213.8889,1.1027
V2_addLevy,2000,61,935.5123,0.8233
V3_addDynW,2000,61,928.1195,0.8389
V4_addStaged,2000,61,1040.8525,0.8682
V5_addLS,2000,61,490.7130,0.5283
V1_CBO_orig,2000,62,502.1489,0.5517
V2_addLevy,2000,62,351.3856,0.4735
V3_addDynW,2000,62,389.4007,0.5162
V4_addStaged,2000,62,459.5325,0.5566
V5_addLS,2000,62,193.6707,0.2222
V1_CBO_orig,2000,63,2458.3108,1.3539
V2_addLevy,2000,63,1595.9518,1.1491
V3_addDynW,2000,63,1656.8357,1.1473
V4_addStaged,2000,63,1917.8497,1.1661
V5_addLS,2000,63,723.2581,0.7785
V1_CBO_orig,2000,64,913.0846,0.7168
V2_addLevy,2000,64,710.9739,0.6308
V3_addDynW,2000,64,742.7618,0.6290
V4_addStaged,2000,64,866.6435,0.6894
V5_addLS,2000,64,475.2360,0.4763
V1_CBO_orig,2000,65,881.6176,1.0311
V2_addLevy,2000,65,822.1439,1.0190
V3_addDynW,2000,65,852.2359,1.0148
V4_addStaged,2000,65,867.9144,1.0173
V5_addLS,2000,65,481.5836,0.5682
V1_CBO_orig,2000,66,1100.2086,1.0452
V2_addLevy,2000,66,777.7215,0.8903
V3_addDynW,2000,66,866.9262,0.9288
V4_addStaged,2000,66,1121.3554,1.0336
V5_addLS,2000,66,402.6790,0.5332
V1_CBO_orig,2000,67,778.9638,1.0265
V2_addLevy,2000,67,805.7192,0.9726
V3_addDynW,2000,67,760.0895,0.9129
V4_addStaged,2000,67,881.0081,1.0794
V5_addLS,2000,67,450.2910,0.5720
V1_CBO_orig,2000,68,602.5263,0.6641
V2_addLevy,2000,68,432.5671,0.5179
V3_addDynW,2000,68,471.9229,0.6213
V4_addStaged,2000,68,547.5292,0.6108
V5_addLS,2000,68,277.1489,0.3545
V1_CBO_orig,2000,69,472.1398,0.6165
V2_addLevy,2000,69,365.0545,0.4827
V3_addDynW,2000,69,375.6880,0.4811
V4_addStaged,2000,69,556.4450,0.6121
V5_addLS,2000,69,262.8156,0.3146
V1_CBO_orig,2000,70,861.2612,1.1998
V2_addLevy,2000,70,700.9331,1.1361
V3_addDynW,2000,70,801.7076,0.7937
V4_addStaged,2000,70,1551.1207,1.1606
V5_addLS,2000,70,462.0225,0.5445
V1_CBO_orig,2000,71,831.3609,0.9255
V2_addLevy,2000,71,804.8978,0.8449
V3_addDynW,2000,71,855.2137,0.8559
V4_addStaged,2000,71,1016.4674,0.8521
V5_addLS,2000,71,386.5763,0.4577
V1_CBO_orig,2000,72,1626.9748,1.2509
V2_addLevy,2000,72,1533.2024,1.1462
V3_addDynW,2000,72,1557.6870,1.1514
V4_addStaged,2000,72,1752.7972,1.2864
V5_addLS,2000,72,859.5204,0.8592
V1_CBO_orig,5000,43,2033.2259,1.0518
V2_addLevy,5000,43,1730.9841,0.8785
V3_addDynW,5000,43,1930.0577,0.9108
V4_addStaged,5000,43,2658.1381,1.1442
V5_addLS,5000,43,1522.1022,0.7518
